Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #,,
03/10/2020,Saturday,4:00 PM,Mark,BYL Online,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
19/09/2020,Saturday,4:00 PM,Kristal,BYL Online,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
09/09/2020,Wednesday,5:00 PM,Bernadine,BYL Online,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
04/09/2020,Friday,7:30 PM,Aleksei,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,Yes,626134,
28/08/2020,Friday,7:30 PM,Brigita,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,Yes,626134,
24/08/2020,Monday,5:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,Yes,626134,
17/08/2020,Monday,5:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,Yes,626134,
15/08/2020,Saturday,4:00 PM,Sumit,BYL Online,Annual Unlimited £1099 (Paid in Advance),Dynamic Hot Vinyasa Flow,Signed in,Yes,626134,
14/08/2020,Friday,7:30 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,Yes,626134,
10/08/2020,Monday,5:00 PM,Amanda,BYL Online,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
08/08/2020,Saturday,4:00 PM,Sumit,BYL Online,Annual Unlimited £1099 (Paid in Advance),Dynamic Hot Vinyasa Flow,Signed in,Yes,626134,
07/08/2020,Friday,5:00 PM,Lizzie,BYL Online,Annual Unlimited £1099 (Paid in Advance),Yin Yoga LIVESTREAM,Signed in,Yes,626134,
01/08/2020,Saturday,4:00 PM,Sumit,BYL Online,Annual Unlimited £1099 (Paid in Advance),Dynamic Hot Vinyasa Flow,Signed in,Yes,626134,
30/07/2020,Thursday,4:00 PM,Lizzie,BYL Online,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
28/07/2020,Tuesday,4:00 PM,Kiraly,BYL Online,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
25/07/2020,Saturday,4:00 PM,Sumit,BYL Online,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
21/07/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
20/07/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
18/07/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
16/07/2020,Thursday,4:00 PM,Andy,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
14/07/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
13/07/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
11/07/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
09/07/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
07/07/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
04/07/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
02/07/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
30/06/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
29/06/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
27/06/2020,Saturday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
25/06/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
23/06/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
20/06/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
18/06/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
16/06/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
15/06/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
14/06/2020,Sunday,4:00 PM,Aleksei,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Jivamukti LIVESTREAM,Signed in,Yes,626134,
13/06/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
11/06/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
09/06/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
08/06/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
06/06/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
04/06/2020,Thursday,4:00 PM,Andy,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
02/06/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
01/06/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
30/05/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
28/05/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
26/05/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
23/05/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
21/05/2020,Thursday,4:00 PM,Andy,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
19/05/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
18/05/2020,Monday,5:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
16/05/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
14/05/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
09/05/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
05/05/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
04/05/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
02/05/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
30/04/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
28/04/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
27/04/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
25/04/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
23/04/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
22/04/2020,Wednesday,7:00 AM,Sharon,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
21/04/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
20/04/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
18/04/2020,Saturday,4:00 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
16/04/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
15/04/2020,Wednesday,7:00 AM,Sharon,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
14/04/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
09/04/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
08/04/2020,Wednesday,7:00 AM,Sharon,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates LIVESTREAM,Signed in,Yes,626134,
06/04/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
02/04/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow LIVESTREAM,Signed in,Yes,626134,
31/03/2020,Tuesday,8:00 AM,Tammy,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),BYL Express LIVESTREAM,Signed in,Yes,626134,
30/03/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
26/03/2020,Thursday,4:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Dynamic Vinyasa Flow (60),Signed in,Yes,626134,
24/03/2020,Tuesday,4:00 PM,Kiraly,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Inferno Pilates,Signed in,Yes,626134,
23/03/2020,Monday,5:00 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yinyang LIVESTREAM,Signed in,Yes,626134,
16/03/2020,Monday,5:15 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
11/03/2020,Wednesday,4:15 PM,Sumit,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
10/03/2020,Tuesday,4:30 PM,Richard,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
04/03/2020,Wednesday,4:15 PM,Bernardo,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
02/03/2020,Monday,5:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
26/02/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
24/02/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
20/02/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
19/02/2020,Wednesday,5:30 PM,Divya,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
18/02/2020,Tuesday,6:00 PM,Divya,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
17/02/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
06/02/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
05/02/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
03/02/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
30/01/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
29/01/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
28/01/2020,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
27/01/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
24/01/2020,Friday,5:00 PM,Divya,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
23/01/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
22/01/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Absent,No,626134,
20/01/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
16/01/2020,Thursday,5:00 PM,Almania,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
15/01/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
13/01/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
08/01/2020,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
07/01/2020,Tuesday,4:30 PM,Adrian,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
06/01/2020,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
03/01/2020,Friday,5:15 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
30/12/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
29/12/2019,Sunday,4:00 PM,Elizabeth,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
16/12/2019,Monday,5:15 PM,Sumit,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
10/12/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
09/12/2019,Monday,5:15 PM,Richard,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
05/12/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
04/12/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
02/12/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
28/11/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
27/11/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
25/11/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
21/11/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
20/11/2019,Wednesday,7:15 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
19/11/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
